population,genotype,individual,uniq_gen,ldmc_av,sla_av,rdmc,root_diam,srl,C_N_ratio
NACHPP,1,1,NACHPP-1,392.5012332,26.39831197,192.8512053,0.211251,112.0559718,19.2438
NACHPP,1,2,NACHPP-1,666.2432273,25.03563152,186.2955032,0.194476,191.3076949,19.0307
NACHPP,1,3,NACHPP-1,521.8270354,22.30870624,164.9168854,0.269865,81.50953239,21.1444
NACHPP,1,4,NACHPP-1,492.2737134,25.2331553,91.54113557,0.234663,160.3673511,15.4417
NACHPP,1,5,NACHPP-1,483.9001325,21.98711347,185.5146125,0.223946,121.0364619,20.0871
NACHPP,1,6,NACHPP-1,581.1425062,22.2376471,191.7320029,0.245045,104.8776233,21.1242
NACHPP,1,7,NACHPP-1,391.8908755,23.86878114,136.4795918,0.214182,196.9763052,15.3398
NACHPP,1,8,NACHPP-1,427.8175732,21.36461204,207.5892857,0.21535,153.3039904,21.0109
NACHPP,1,9,NACHPP-1,416.1877996,23.42741862,156.8627451,0.232956,204.5666879,18.4169
NACHPP,3,1,NACHPP-3,637.1574156,21.97773256,132.60762,0.279992,114.7487544,18.9506
NACHPP,3,2,NACHPP-3,535.2075813,19.48653958,123.9606954,0.240316,163.2644775,23.6237
NACHPP,3,3,NACHPP-3,409.8566082,28.13887802,172.6121979,0.263861,111.685511,10.5196
NACHPP,3,4,NACHPP-3,448.7147312,18.40714411,112.2278057,0.323215,124.6468175,17.4708
NACHPP,3,5,NACHPP-3,401.2135073,22.43777888,187.9032258,0.222002,137.0137625,19.2074
NACHPP,3,6,NACHPP-3,599.7663265,17.26606932,213.7823023,0.267731,81.02322527,22.5881
NACHPP,3,7,NACHPP-3,620.8549027,19.04153978,140.1401401,0.28728,130.6082928,17.4626
NACHPP,4,1,NACHPP-4,772.0549451,17.78170552,139.8550725,0.226251,171.7942337,16.6348
NACHPP,4,2,NACHPP-4,957.6392732,16.28989862,208.3589428,0.204561,168.7299527,17.0537
NACHPP,4,3,NACHPP-4,664.200351,23.45111781,136.4031277,0.229895,164.5027038,14.0785
NACHPP,4,4,NACHPP-4,381.2992562,25.3901447,136.9248036,0.219196,198.1920707,14.7939
NACHPP,4,5,NACHPP-4,577.2061377,21.29556671,165.2340019,0.221001,142.181549,16.3988
NACHPP,4,6,NACHPP-4,495.5786534,25.86967382,131.8300087,0.226767,185.6549547,14.4147
NACHPP,4,7,NACHPP-4,401.6637495,22.52505715,230.0884956,0.207528,123.5559865,19.5594
NACHPP,4,8,NACHPP-4,463.3276862,22.10614797,144.993498,0.239437,131.3048856,17.0501
NACHPP,4,9,NACHPP-4,446.5150794,23.64884815,159.586682,0.222874,173.8244259,16.9175
NACHPP,5,1,NACHPP-5,NA,NA,241.0901468,0.208552,124.3609181,18.573
NACHPP,5,3,NACHPP-5,NA,NA,295.154185,0.18131,113.7891026,NA
NACHPP,5,4,NACHPP-5,NA,NA,127.2486772,0.222379,157.4943933,19.7784
